docdb_family_id,person_ctry_code,inventor_count
82117448,NO,1
82117448,US,3
82117604,NO,2
82156126,NO,3
82156162,GB,1
82156162,NO,2
82156174,NO,3
82156199,NO,1
82156204,NO,1
82156385,DK,1
82156720,NO,1
82163351,NO,1
82163379,NO,1
82196722,NO,1
82199329,DE,3
82199329,NO,4
82199334,DE,3
82199334,NO,4
82199505,NO,1
82214228,NO,2
82214350,NO,1
82220583,NO,1
82220654,NO,4
82258190,DK,1
82258192,NO,1
82258236,DK,1
82258334,NO,3
82258572,NO,3
82270634,NO,1
82270661,NO,5
82270661,US,1
82270675,NO,1
82308501,NO,2
82319609,NO,1
82319840,NO,1
82319860,NL,1
82319860,NO,1
82320063,NO,2
82321313,NO,3
82321401,NO,3
82321424,US,3
82321568,NO,1
82324047,NO,4
82324131,NO,5
82357374,NO,1
82357377,NO,3
82357379,NO,1
82357385,NO,6
82357393,NO,6
82357398,NO,3
82358432,NO,2
82358531,NO,6
82358547,NO,1
82358646,NO,1
82361296,NO,8
82385593,NO,4
82399210,NO,1
82399406,DE,1
82399406,NO,3
82399667,NO,2
82399708,NO,1
82403410,NL,8
82403410,NO,1
82403410,SE,13
82404009,NO,1
82404066,NO,3
82404145,NO,3
82404235,NO,2
82404265,US,1
82404571,NO,3
82448702,NO,2
82482532,NO,2
82482895,NO,2
82483026,NO,2
82483094,NL,1
82483094,NO,1
82483540,BE,2
82483540,ES,3
82483540,FR,4
82483540,PL,2
82492391,NO,2
82492426,NO,1
82492556,NO,1
82492654,NO,1
82492832,DE,1
82492832,NO,1
82492832,US,2
82492867,CN,3
82492867,NO,3
82493530,DE,1
82493863,NO,1
82494071,NO,3
82495684,NO,2
82495692,NO,2
82496202,FI,1
82496202,NO,2
82496277,NO,2
82546990,NO,1
82547539,BE,2
82548462,NO,2
82548970,NO,5
82549023,NO,2
82557899,NO,3
82594784,NO,2
82594970,NO,1
82595230,NO,1
82608433,NO,4
82608516,NO,1
82611111,NO,3
82653737,NO,1
82653738,NO,1
82653740,NO,2
82654901,IN,1
82655098,NO,4
82655111,NO,1
82655150,NO,3
82655181,NO,1
82693795,NO,1
82693796,NO,1
82693870,NO,1
82693949,NO,1
82701768,NO,1
82701768,SE,3
82701928,NO,1
82701991,NO,4
82702943,NO,9
82703084,NO,1
82704521,NO,3
82705247,BR,3
82705247,NO,1
82705269,NO,3
82705338,NO,2
82705339,NO,1
82705483,BR,3
82705483,NO,1
82705570,NO,1
82741651,NO,2
82741657,NO,1
82741702,AE,6
82741702,IT,1
82741702,NO,1
82748122,US,1
82780826,NL,3
82781111,NO,4
82786642,NO,2
82802511,NO,1
82802634,NO,3
82802653,NO,2
82838017,NO,3
82838019,NO,4
82838024,NO,2
82838128,DK,2
82838128,NO,1
82838980,NO,1
82839251,CH,1
82846144,NO,4
82846310,NO,1
82846328,GB,1
82846328,NO,1
82850657,NO,2
82851645,NO,4
82851717,NO,2
82898868,NO,1
82899025,NO,2
82899372,NO,1
82900535,US,2
82900631,FI,1
82931537,NO,2
82931542,NO,1
82931551,NO,1
82932396,NO,4
82932514,NO,1
82932766,NO,1
